03/16/2023                                                               Dynamic List Display                                                                       1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Order     |Material      |Target qty|    WBS Element|Occ.|Order Type|MRP ctrlr|Plant|Bsc start |System Status                          |Material description       |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000903103|1210027B-X202A|        1 |D-1210027-10773|02  |PP01      |003      |HS01 |03/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903108|1210027B-X202A|        1 |D-1210027-10440|02  |PP01      |003      |HS01 |03/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903276|1210027B-X202A|        1 |D-1210027-10478|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993419   |1210027B-X202A|        1 |D-1210027-10478|02  |PR        |003      |HS01 |03/13/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000903324|1210027B-X203C|        1 |D-1210027-10593|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903330|1210027B-X203C|        1 |D-1210027-10304|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903331|1210027B-X203C|        1 |D-1210027-10266|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903339|1210027B-X203C|        1 |D-1210027-10849|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903359|1210027B-X203C|        3 |D-1210027-10849|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903362|1210027B-X203C|        2 |D-1210027-10849|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903425|1210027B-X203C|        2 |D-1210027-10849|02  |PP01      |003      |HS01 |03/13/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993434   |1210027B-X203C|        1 |D-1210027-10631|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993435   |1210027B-X203C|       14 |D-1210027-10811|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993437   |1210027B-X203C|        2 |D-1210027-11030|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993438   |1210027B-X203C|        2 |D-1210027-11068|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3997710   |1210027B-X203C|        6 |D-1210027-10849|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000903309|1210027B-X204C|        1 |D-1210027-10340|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903361|1210027B-X204C|        1 |D-1210027-10667|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903369|1210027B-X204C|        1 |D-1210027-10885|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903427|1210027B-X204C|        1 |D-1210027-10885|02  |PP01      |003      |HS01 |03/13/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993455   |1210027B-X204C|        2 |D-1210027-11104|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3997712   |1210027B-X204C|       12 |D-1210027-10885|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000903307|1210027B-X205A|        1 |D-1210027-10631|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903323|1210027B-X205A|        1 |D-1210027-10304|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903329|1210027B-X205A|        1 |D-1210027-10340|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903363|1210027B-X205A|        1 |D-1210027-10849|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993466   |1210027B-X205A|       13 |D-1210027-10849|02  |PR        |003      |HS01 |03/13/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993467   |1210027B-X205A|        2 |D-1210027-11068|02  |PR        |003      |HS01 |03/13/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3993468   |1210027B-X205A|        1 |D-1210027-11104|02  |PR        |003      |HS01 |03/13/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000903299|1210027B-X205C|        1 |D-1210027-10372|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903321|1210027B-X205C|        1 |D-1210027-10404|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903664|1210027B-X205C|        1 |D-1210027-10737|02  |PP01      |003      |HS01 |03/14/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903668|1210027B-X205C|        3 |D-1210027-10849|02  |PP01      |003      |HS01 |03/14/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993474   |1210027B-X205C|        2 |D-1210027-11068|02  |PR        |003      |HS01 |03/15/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
|3997857   |1210027B-X205C|       11 |D-1210027-10849|02  |PR        |003      |HS01 |03/15/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000903365|1210027B-X208B|        1 |D-1210027-10667|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903368|1210027B-X208B|        1 |D-1210027-10885|02  |PP01      |003      |HS01 |03/10/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993500   |1210027B-X208B|       10 |D-1210027-10885|02  |PR        |003      |HS01 |03/13/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000902931|1210027B-X209A|        1 |D-1210027-10773|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000902933|1210027B-X209A|        1 |D-1210027-10593|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000902935|1210027B-X209A|        4 |D-1210027-10811|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000902983|1210027B-X209A|        5 |D-1210027-10811|02  |PP01      |003      |HS01 |03/07/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903396|1210027B-X209A|       12 |D-1210027-10811|02  |PP01      |003      |HS01 |03/13/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|3993508   |1210027B-X209A|        1 |D-1210027-10266|02  |PR        |003      |HS01 |03/14/2023|                                       |PL 1 3/8 x 13 1/8 x 8'-7   |
